"Pos","Id_pl","Name","Surname","Country","Pts","Date"
3,8,"Mark","Philippoussis","AUS",689,"1996-02-28"
4,7,"Yevgeny","Kafelnikow","RUS",684,"1996-02-28"
5,4,"Wayne","Ferreira","RSA",400,"1996-02-28"
6,1,"Pete","Sampras","USA",375,"1996-02-28"
7,27,"Byron","Black","ZIM",341,"1996-02-28"
8,6,"Michael","Chang","USA",333,"1996-02-28"
9,5,"Thomas","Muster","AUT",316,"1996-02-28"
10,29,"Cedric","Pioline","FRA",193,"1996-02-28"
11,14,"Marc","Rosset","SUI",156,"1996-02-28"
12,9,"Thomas","Enqvist","SWE",129,"1996-02-28"
13,12,"Richard","Krajicek","NED",89,"1996-02-28"
14,30,"Alejandro","Hernandez","MEX",48,"1996-02-28"
15,19,"Todd","Martin","USA",40,"1996-02-28"
16,32,"Olivier","Rochus","BEL",34,"1996-02-28"
17,11,"Jim","Courier","USA",32,"1996-02-28"
18,16,"Michael","Stich","GER",30,"1996-02-28"
18,18,"Andrei","Medvedev","UKR",30,"1996-02-28"
18,28,"Guy","Forget","FRA",30,"1996-02-28"
21,10,"Goran","Ivanisevic","CRO",26,"1996-02-28"
21,20,"Wojciech","Kowalski","POL",26,"1996-02-28"
21,21,"Bartlomiej","Dabrowski","POL",26,"1996-02-28"
21,23,"Stefan","Edberg","SWE",26,"1996-02-28"
25,22,"Greg","Rusedski","GBR",9,"1996-02-28"
26,15,"Andrea","Gaudenzi","ITA",2,"1996-02-28"
26,17,"Arnaud","Boetsch","FRA",2,"1996-02-28"
26,31,"Kenneth","Carlsen","DEN",2,"1996-02-28"
0,0,"A","B","c",0,"1971-01-01"
1,2,"Andre","Agassi","USA",1322,"1996-03-10"
2,7,"Yevgeny","Kafelnikow","RUS",838,"1996-03-10"
3,3,"Boris","Becker","GER",742,"1996-03-10"
4,4,"Wayne","Ferreira","RSA",703,"1996-03-10"
5,8,"Mark","Philippoussis","AUS",689,"1996-03-10"
6,6,"Michael","Chang","USA",515,"1996-03-10"
7,5,"Thomas","Muster","AUT",394,"1996-03-10"
8,1,"Pete","Sampras","USA",375,"1996-03-10"
9,27,"Byron","Black","ZIM",343,"1996-03-10"
10,14,"Marc","Rosset","SUI",199,"1996-03-10"
11,29,"Cedric","Pioline","FRA",193,"1996-03-10"
12,36,"Carlos","Moya","ESP",182,"1996-03-10"
13,9,"Thomas","Enqvist","SWE",129,"1996-03-10"
14,12,"Richard","Krajicek","NED",117,"1996-03-10"
15,33,"Javier","Frana","ARG",86,"1996-03-10"
16,15,"Andrea","Gaudenzi","ITA",67,"1996-03-10"
17,19,"Todd","Martin","USA",66,"1996-03-10"
18,18,"Andrei","Medvedev","UKR",58,"1996-03-10"
19,30,"Alejandro","Hernandez","MEX",48,"1996-03-10"
20,32,"Olivier","Rochus","BEL",34,"1996-03-10"
21,28,"Guy","Forget","FRA",33,"1996-03-10"
22,11,"Jim","Courier","USA",32,"1996-03-10"
23,16,"Michael","Stich","GER",30,"1996-03-10"
23,17,"Arnaud","Boetsch","FRA",30,"1996-03-10"
25,21,"Bartlomiej","Dabrowski","POL",28,"1996-03-10"
26,10,"Goran","Ivanisevic","CRO",26,"1996-03-10"
26,13,"Sergi","Bruguera","ESP",26,"1996-03-10"
26,20,"Wojciech","Kowalski","POL",26,"1996-03-10"
26,23,"Stefan","Edberg","SWE",26,"1996-03-10"
26,25,"Mark","Knowles","BAH",26,"1996-03-10"
26,35,"Nicolas","Periera","URG",26,"1996-03-10"
32,22,"Greg","Rusedski","GBR",9,"1996-03-10"
33,26,"Grant","Connell","CAN",2,"1996-03-10"
33,31,"Kenneth","Carlsen","DEN",2,"1996-03-10"
0,0,"A","B","c",0,"1971-01-01"
1,2,"Andre","Agassi","USA",1809,"1996-03-17"
2,3,"Boris","Becker","GER",1001,"1996-03-17"
3,7,"Yevgeny","Kafelnikow","RUS",878,"1996-03-17"
4,8,"Mark","Philippoussis","AUS",802,"1996-03-17"
5,4,"Wayne","Ferreira","RSA",707,"1996-03-17"
6,6,"Michael","Chang","USA",515,"1996-03-17"
7,5,"Thomas","Muster","AUT",434,"1996-03-17"
8,1,"Pete","Sampras","USA",375,"1996-03-17"
9,27,"Byron","Black","ZIM",343,"1996-03-17"
10,28,"Guy","Forget","FRA",215,"1996-03-17"
11,36,"Carlos","Moya","ESP",214,"1996-03-17"
12,14,"Marc","Rosset","SUI",203,"1996-03-17"
13,29,"Cedric","Pioline","FRA",193,"1996-03-17"
14,19,"Todd","Martin","USA",163,"1996-03-17"
15,12,"Richard","Krajicek","NED",149,"1996-03-17"
16,9,"Thomas","Enqvist","SWE",129,"1996-03-17"
17,33,"Javier","Frana","ARG",90,"1996-03-17"
18,31,"Kenneth","Carlsen","DEN",80,"1996-03-17"
19,15,"Andrea","Gaudenzi","ITA",69,"1996-03-17"
20,18,"Andrei","Medvedev","UKR",58,"1996-03-17"
20,21,"Bartlomiej","Dabrowski","POL",58,"1996-03-17"
22,16,"Michael","Stich","GER",56,"1996-03-17"
23,30,"Alejandro","Hernandez","MEX",48,"1996-03-17"
24,32,"Olivier","Rochus","BEL",34,"1996-03-17"
25,11,"Jim","Courier","USA",32,"1996-03-17"
26,17,"Arnaud","Boetsch","FRA",30,"1996-03-17"
27,10,"Goran","Ivanisevic","CRO",26,"1996-03-17"
27,13,"Sergi","Bruguera","ESP",26,"1996-03-17"
27,20,"Wojciech","Kowalski","POL",26,"1996-03-17"
27,23,"Stefan","Edberg","SWE",26,"1996-03-17"
27,25,"Mark","Knowles","BAH",26,"1996-03-17"
27,35,"Nicolas","Periera","URG",26,"1996-03-17"
33,22,"Greg","Rusedski","GBR",9,"1996-03-17"
34,26,"Grant","Connell","CAN",2,"1996-03-17"
0,0,"A","B","c",0,"1971-01-01"
1,2,"Andre","Agassi","USA",1813,"1996-03-24"
2,3,"Boris","Becker","GER",1041,"1996-03-24"
3,7,"Yevgeny","Kafelnikow","RUS",975,"1996-03-24"
4,8,"Mark","Philippoussis","AUS",838,"1996-03-24"
5,4,"Wayne","Ferreira","RSA",707,"1996-03-24"
6,36,"Carlos","Moya","ESP",571,"1996-03-24"
7,6,"Michael","Chang","USA",547,"1996-03-24"
8,5,"Thomas","Muster","AUT",438,"1996-03-24"
9,29,"Cedric","Pioline","FRA",436,"1996-03-24"
10,1,"Pete","Sampras","USA",407,"1996-03-24"
11,27,"Byron","Black","ZIM",343,"1996-03-24"
12,14,"Marc","Rosset","SUI",300,"1996-03-24"
13,28,"Guy","Forget","FRA",215,"1996-03-24"
14,17,"Arnaud","Boetsch","FRA",212,"1996-03-24"
15,19,"Todd","Martin","USA",163,"1996-03-24"
16,12,"Richard","Krajicek","NED",149,"1996-03-24"
17,16,"Michael","Stich","GER",142,"1996-03-24"
18,9,"Thomas","Enqvist","SWE",133,"1996-03-24"
19,33,"Javier","Frana","ARG",90,"1996-03-24"
20,18,"Andrei","Medvedev","UKR",84,"1996-03-24"
21,31,"Kenneth","Carlsen","DEN",80,"1996-03-24"
22,15,"Andrea","Gaudenzi","ITA",69,"1996-03-24"
23,21,"Bartlomiej","Dabrowski","POL",58,"1996-03-24"
24,30,"Alejandro","Hernandez","MEX",48,"1996-03-24"
25,11,"Jim","Courier","USA",36,"1996-03-24"
26,32,"Olivier","Rochus","BEL",34,"1996-03-24"
27,37,"Marat","Safin","RUS",30,"1996-03-24"
28,10,"Goran","Ivanisevic","CRO",26,"1996-03-24"
28,13,"Sergi","Bruguera","ESP",26,"1996-03-24"
28,20,"Wojciech","Kowalski","POL",26,"1996-03-24"
28,23,"Stefan","Edberg","SWE",26,"1996-03-24"
28,25,"Mark","Knowles","BAH",26,"1996-03-24"
28,35,"Nicolas","Periera","URG",26,"1996-03-24"
34,22,"Greg","Rusedski","GBR",9,"1996-03-24"
35,26,"Grant","Connell","CAN",2,"1996-03-24"
0,0,"A","B","c",0,"1971-01-01"
1,2,"Andre","Agassi","USA",1813,"1996-03-31"
2,3,"Boris","Becker","GER",1041,"1996-03-31"
3,7,"Yevgeny","Kafelnikow","RUS",975,"1996-03-31"
4,8,"Mark","Philippoussis","AUS",838,"1996-03-31"
